,tran_yr,in_fig,graduation_rate
0,1999,FALSE,100
1,2000,FALSE,100
2,2001,FALSE,100
3,2001,TRUE,100
4,2004,FALSE,100
5,2004,TRUE,100
7,2005,TRUE,100
9,2006,TRUE,66.66666667
