,tran_yr,in_fig,graduation_rate
1,1998,FALSE,75.4789272
3,1998,TRUE,75.75
5,1999,FALSE,69.42675159
7,1999,TRUE,77.23214286
9,2000,FALSE,75.7518797
11,2000,TRUE,76.52671756
13,2001,FALSE,73.60515021
15,2001,TRUE,77.14748784
17,2002,FALSE,81.25
19,2002,TRUE,78.04154303
21,2003,FALSE,76.10619469
23,2003,TRUE,82.4929972
25,2004,FALSE,80.33333333
27,2004,TRUE,82.10382514
29,2005,FALSE,78.72928177
31,2005,TRUE,82.20338983
33,2006,FALSE,79.48207171
35,2006,TRUE,80.60522696
