,tran_yr,in_fig,graduation_rate
1,1998,FALSE,80.5907173
3,1998,TRUE,84.375
5,1999,FALSE,80.34482759
7,1999,TRUE,82.58064516
9,2000,FALSE,80.73089701
11,2000,TRUE,81.63265306
13,2001,FALSE,77.24358974
15,2001,TRUE,86.38497653
17,2002,FALSE,85.03937008
19,2002,TRUE,82.50825083
21,2003,FALSE,84.45595855
23,2003,TRUE,85.91160221
25,2004,FALSE,78.77358491
27,2004,TRUE,84.25414365
29,2005,FALSE,86.22222222
31,2005,TRUE,84.93589744
33,2006,FALSE,81.33333333
35,2006,TRUE,84.74114441
