,tran_yr,in_fig,graduation_rate
1,1998,FALSE,64.28571429
3,1998,TRUE,75
5,1999,FALSE,78.94736842
7,1999,TRUE,68.75
9,2000,FALSE,58.33333333
11,2000,TRUE,79.41176471
13,2001,FALSE,65.38461538
15,2001,TRUE,81.57894737
17,2002,FALSE,50
19,2002,TRUE,80.43478261
21,2003,FALSE,81.25
23,2003,TRUE,82.69230769
25,2004,FALSE,77.77777778
27,2004,TRUE,80.76923077
29,2005,FALSE,69.23076923
31,2005,TRUE,73.33333333
33,2006,FALSE,80.95238095
35,2006,TRUE,82.75862069
