,tran_yr,in_fig,graduation_rate
1,1998,FALSE,38.88888889
3,1998,TRUE,83.33333333
5,1999,FALSE,52.94117647
7,1999,TRUE,62.5
9,2000,FALSE,55.17241379
11,2000,TRUE,69.56521739
13,2001,FALSE,70.58823529
15,2001,TRUE,68.42105263
17,2002,FALSE,71.42857143
19,2002,TRUE,59.375
21,2003,FALSE,50
23,2003,TRUE,79.16666667
25,2004,FALSE,64.70588235
27,2004,TRUE,69.6969697
29,2005,FALSE,75
31,2005,TRUE,60
33,2006,FALSE,63.63636364
35,2006,TRUE,63.15789474
