,tran_yr,in_fig,graduation_rate
1,1998,FALSE,78.74186551
3,1998,TRUE,83.33333333
5,1999,FALSE,78.23639775
7,1999,TRUE,82.65682657
9,2000,FALSE,79.23211169
11,2000,TRUE,79.76539589
13,2001,FALSE,76.67785235
15,2001,TRUE,85.07109005
17,2002,FALSE,82.55033557
19,2002,TRUE,82.90766208
21,2003,FALSE,83.59375
23,2003,TRUE,85.67073171
25,2004,FALSE,80.43478261
27,2004,TRUE,85.69051581
29,2005,FALSE,83.6492891
31,2005,TRUE,82.69230769
33,2006,FALSE,82.5708061
35,2006,TRUE,84.53125
