,tran_yr,in_fig,graduation_rate
1,1998,FALSE,73.12072893
3,1998,TRUE,76.76348548
5,1999,FALSE,74.85380117
7,1999,TRUE,79.68
9,2000,FALSE,76.11607143
11,2000,TRUE,76.67638484
13,2001,FALSE,74.07407407
15,2001,TRUE,77.11757269
17,2002,FALSE,78
19,2002,TRUE,78.83959044
21,2003,FALSE,75.48387097
23,2003,TRUE,81.98489752
25,2004,FALSE,78.40531561
27,2004,TRUE,83.13120176
29,2005,FALSE,82.43626062
31,2005,TRUE,82.36582694
33,2006,FALSE,74.38202247
35,2006,TRUE,85.06355932
